model,epoch,train_loss,train_accuracy,val_loss,val_accuracy
resnet18,1,1.4314893575815053,0.3504273504273504,1.0889095067977905,0.6
resnet18,2,1.197483682224893,0.5042735042735043,0.8435555219650268,0.75
resnet18,3,0.9186386078850836,0.7606837606837606,0.7226852774620056,0.85
resnet18,4,0.7302526459734664,0.8717948717948718,0.6011322319507599,0.85
resnet18,5,0.6357081015395303,0.8290598290598291,0.5754482388496399,0.85
mobilenet_v3_small,1,1.313369097872677,0.4700854700854701,1.0213268041610717,0.8
mobilenet_v3_small,2,0.9197007162958128,0.8547008547008547,0.6617203891277313,0.85
mobilenet_v3_small,3,0.6427691049045987,0.9316239316239316,0.48488968014717104,0.9
mobilenet_v3_small,4,0.4486388064857222,0.9658119658119658,0.3871452063322067,0.9
mobilenet_v3_small,5,0.37704898098595124,0.9487179487179487,0.32477082759141923,0.9
